Model,Accuracy,Macro Precision,Macro Recall,Macro F1,Weighted F1
Linear SVM,1.0,1.0,1.0,1.0,1.0
"Linear SVM (balanced, C=0.1)",1.0,1.0,1.0,1.0,1.0
Logistic Regression,0.9991103202846975,0.9996847414880202,0.9914529914529915,0.9953171601921451,0.9990850666631134
Multinomial NB (text-only),0.9617437722419929,0.9720690634152173,0.9108391608391607,0.9093182674221539,0.9498678400328209
"Logistic Regression (balanced, C=0.1)",0.9154804270462633,0.8519579444303188,0.93313331930463,0.8718853189819573,0.9202612015511926
