,MAE,RMSE,MAPE,R2
Baseline (naive),8066.130991163449,10363.660914931515,43.55966363776499,0.5534326819124669
Linear Regression,8841.287990086817,10428.296157966852,73.75868576347,0.5478450819967025
Lasso,8858.249718066298,10455.662567436819,74.20098608803633,0.5454688371219569
Ridge,8988.866181739297,10664.659931346367,77.09356016391533,0.5271160553764909
Random Forest,12973.62153380092,16394.74239741499,138.0666858550335,-0.1175571476375199
XGBoost,12787.449218243746,16899.39377204934,138.83276119888274,-0.18741572837053955
