,MAE,RMSE,MAPE,R2
Baseline (naive),8066.130991163449,10363.660914931515,43.55966363776499,0.5534326819124669
Linear Regression,8841.287990086803,10428.296157966837,73.7586857634698,0.5478450819967038
Lasso,8858.2497180663,10455.662567436822,74.20098608803639,0.5454688371219567
Ridge,8988.866181739293,10664.659931346363,77.0935601639153,0.5271160553764912
Random Forest,12973.62153380092,16394.74239741499,138.0666858550335,-0.1175571476375199
XGBoost,12636.18972482511,16524.992579531146,136.35753893010803,-0.13538484346267432
